8.8.8.8
exmaple.com
142.250.217.78
142.251.33.69
40.89.244.232
157.240.3.35
216.58.206.238
66.211.175.229
98.136.144.138
81.92.228.153
82.202.189.164
149.6.126.132
209.200.152.198
199.227.51.53
52.32.76.121
171.159.118.100
159.45.170.143 
192.193.218.80
193.127.210.145
156.114.16.134
202.2.56.40 
